dateCrawled;name;seller;offerType;price;abtest;vehicleType;yearOfRegistration;gearbox;powerPS;model;kilometer;monthOfRegistration;fuelType;brand;notRepairedDamage;dateCreated;nrOfPictures;postalCode;lastSeen
20/03/2016 09:58;Ford_Kuga_1.5_Eco_Individual_Navi__Key_Free_Kamera;privat;Angebot;26400;control;suv;2015;manuell;150;kuga;5000;11;benzin;ford;nein;20/03/2016 00:00;0;93333;31/03/2016 14:17
10/03/2016 22:48;Skoda_Yeti_2.0_TDI_4x4_Monte_Carlo;privat;Angebot;23699;control;suv;2014;manuell;110;yeti;30000;9;diesel;skoda;nein;10/03/2016 00:00;0;66871;17/03/2016 19:47
22/03/2016 04:36;Audi__Q3;privat;Angebot;29500;test;suv;2014;manuell;140;q3;30000;10;diesel;audi;nein;22/03/2016 00:00;0;86633;05/04/2016 18:18
24/03/2016 13:55;Mercedes_Benz_GLK_220_CDI_4Matic__BlueEFFICIENCY__7G_TRONIC;privat;Angebot;37950;control;suv;2014;automatik;170;glk;40000;6;diesel;mercedes_benz;nein;24/03/2016 00:00;0;40764;07/04/2016 05:17
04/04/2016 15:38;Volkswagen_Tiguan_2.0_TDI_DPF_4Motion_BlueMotion_Techn....;privat;Angebot;33888;test;suv;2014;automatik;177;tiguan;30000;4;diesel;volkswagen;nein;04/04/2016 00:00;0;33154;06/04/2016 16:47
24/03/2016 12:37;Opel_Mokka_1.4_Turbo_INNOVATION_ecoFLEX_4x4_..;privat;Angebot;19350;test;suv;2014;manuell;140;andere;30000;2;benzin;opel;nein;24/03/2016 00:00;0;46145;01/04/2016 06:18
23/03/2016 12:56;Mercedes_Benz_GLC_220_d_4Matic_9G_TRONIC_AMG_Garantie_bis_2020;privat;Angebot;50999;control;suv;2015;automatik;170;andere;10000;9;diesel;mercedes_benz;nein;23/03/2016 00:00;0;53113;29/03/2016 06:18
14/03/2016 15:51;Opel_Mokka_1.4_Turbo_Automatik;privat;Angebot;21500;control;suv;2014;automatik;140;andere;30000;12;benzin;opel;ja;14/03/2016 00:00;0;14476;31/03/2016 02:46
15/03/2016 09:25;Dacia_Duster_dCi_110_FAP_4x2_Laureate;privat;Angebot;13500;control;suv;2014;manuell;109;duster;20000;4;diesel;dacia;nein;15/03/2016 00:00;0;55246;07/04/2016 05:45
10/03/2016 13:45;Jeep_Grand_Cherokee_3.0I_Multijet_Summit;privat;Angebot;19999;test;suv;2014;automatik;250;grand;90000;5;diesel;jeep;ja;10/03/2016 00:00;0;63128;15/03/2016 03:46
11/03/2016 19:39;VW_Amarok_Dark_Label_2_0_BiTDI_4_Motion;privat;Angebot;27500;test;suv;2014;manuell;180;amarok;50000;4;diesel;volkswagen;nein;11/03/2016 00:00;0;47178;06/04/2016 00:16
05/03/2016 16:58;Kia_Sportage_Spirit_Vollausstattung_5Jahre_Rest_Garantie_AHK_Park;privat;Angebot;24500;control;suv;2014;manuell;185;sportage;40000;1;diesel;kia;nein;29/02/2016 00:00;0;94486;14/03/2016 07:15
05/03/2016 17:54;Dacia_Duster_Celebration_1.6_16V_LPG_105_4x2;privat;Angebot;15000;test;suv;2015;manuell;105;duster;5000;8;lpg;dacia;nein;05/03/2016 00:00;0;36364;18/03/2016 00:16
04/04/2016 23:50;"Volkswagen_Tiguan_2.0_TDI_DPF_BMT_""Life""";privat;Angebot;21900;control;suv;2014;manuell;140;tiguan;20000;1;diesel;volkswagen;nein;04/04/2016 00:00;0;48455;07/04/2016 09:15
07/03/2016 20:52;Dacia_Duster__Darkster_Elia__Lpg_mit_42_Monaten_Werksgarantie;privat;Angebot;19990;test;suv;2014;manuell;105;duster;30000;8;lpg;dacia;;07/03/2016 00:00;0;25436;05/04/2016 17:45
31/03/2016 23:52;Ssangyong_Tivoli_e_XGi_160_2WD_Quartz;privat;Angebot;17500;control;suv;2015;automatik;128;;5000;8;benzin;sonstige_autos;nein;31/03/2016 00:00;0;90762;07/04/2016 03:17
02/04/2016 13:56;Audi_Q5_Quattro;privat;Angebot;35500;test;suv;2015;manuell;150;q5;10000;10;;audi;nein;02/04/2016 00:00;0;38315;06/04/2016 12:46
01/04/2016 16:52;BMW_X1_xDrive20d;privat;Angebot;38200;control;suv;2014;manuell;190;x_reihe;5000;2;diesel;bmw;nein;01/04/2016 00:00;0;94360;01/04/2016 16:52
25/03/2016 16:19;Mercedes_Benz_GLE_350_d_AMG__4Matic_9G_TRONIC_Frei_ab_06_16;privat;Angebot;57500;test;suv;2015;automatik;258;andere;10000;7;diesel;mercedes_benz;nein;24/03/2016 00:00;0;56428;02/04/2016 08:44
01/04/2016 19:42;Ford_Kuga_2.0_TDCi_4x4_Aut._Individual;privat;Angebot;28900;control;suv;2014;automatik;163;kuga;20000;10;diesel;ford;nein;01/04/2016 00:00;0;53919;05/04/2016 15:45
11/03/2016 03:36;Audi__Q3;privat;Angebot;32500;control;suv;2014;automatik;177;q3;30000;1;diesel;audi;nein;11/03/2016 00:00;0;85123;06/04/2016 03:16
01/04/2016 15:51;Volkswagen_Tiguan_2.0_TDI_DPF_4Motion_BlueMotion_Techn....;privat;Angebot;29900;test;suv;2014;automatik;177;tiguan;20000;2;diesel;volkswagen;nein;01/04/2016 00:00;0;79199;07/04/2016 13:50
11/03/2016 21:53;Nissan_X_Trail_1.6__Navi_Panorama__Safety_Style__keyless;privat;Angebot;28888;test;suv;2016;manuell;163;x_trail;5000;1;benzin;nissan;nein;11/03/2016 00:00;0;26954;06/04/2016 13:17
24/03/2016 23:55;Audi_SQ5_3.0_TDI_quattro_tiptronic_competition;privat;Angebot;52000;test;suv;2015;automatik;326;andere;5000;12;diesel;audi;nein;24/03/2016 00:00;0;92339;02/04/2016 08:46
22/03/2016 17:37;Kia_Sportage_2.0_CRDi_184_AWD_Aut._Spirit;privat;Angebot;26500;control;suv;2015;automatik;184;sportage;30000;2;diesel;kia;nein;22/03/2016 00:00;0;49186;06/04/2016 08:17
05/03/2016 17:39;Mazda_CX_5_SKYACTIV_D_150;privat;Angebot;24500;test;suv;2015;manuell;150;cx_reihe;20000;5;diesel;mazda;nein;05/03/2016 00:00;0;53639;20/03/2016 19:18
14/03/2016 11:57;Mercedes_Benz_G_350_BlueTEC_7G_TRONIC_Edition_35_Standhz__SSD_;privat;Angebot;78900;test;suv;2015;automatik;211;g_klasse;10000;7;diesel;mercedes_benz;nein;14/03/2016 00:00;0;57462;05/04/2016 11:50
03/04/2016 13:54;Volkswagen_Tiguan_2.0_TDI_SCR_BlueMotion_Technology;privat;Angebot;26900;control;suv;2015;manuell;150;tiguan;10000;11;diesel;volkswagen;nein;03/04/2016 00:00;0;32825;05/04/2016 12:46
14/03/2016 09:53;Land_Rover_Range_Rover_Sport_TDV6_HSE;privat;Angebot;68800;control;suv;2015;automatik;258;range_rover_sport;20000;1;diesel;land_rover;nein;14/03/2016 00:00;0;80995;07/04/2016 09:16
19/03/2016 07:55;Audi_Q3_2.0_TFSI_quattro_S_line__AHK__Bose__LED__DAB+;privat;Angebot;41790;control;suv;2015;automatik;220;q3;20000;3;benzin;audi;nein;19/03/2016 00:00;0;93152;06/04/2016 04:17
17/03/2016 11:55;Jeep_Compass_2.2I_CRD_4x4_Limited;privat;Angebot;23700;control;suv;2014;manuell;163;andere;50000;1;diesel;jeep;nein;17/03/2016 00:00;0;30855;17/03/2016 12:46
11/03/2016 10:38;"Audi_Q3_1.4_TFSI___Anhaengerkupplung_All_Season_17""235";privat;Angebot;25900;test;suv;2014;manuell;150;q3;10000;7;benzin;audi;nein;11/03/2016 00:00;0;85049;14/03/2016 23:45
29/03/2016 04:03;Audi__Q3;privat;Angebot;27300;test;suv;2014;manuell;177;q3;30000;1;diesel;audi;nein;29/03/2016 00:00;0;85055;05/04/2016 17:26
03/04/2016 10:56;Land_Rover_Range_Rover_Evoque_TD4_Pure_Navi_Xenon_Klima;privat;Angebot;35499;control;suv;2015;manuell;150;range_rover_evoque;20000;4;diesel;land_rover;nein;03/04/2016 00:00;0;30966;07/04/2016 12:44
26/03/2016 09:50;Opel_Mokka_1.4_Turbo_ecoFLEX_Start/Stop_4x4_Edition;privat;Angebot;19500;control;suv;2014;manuell;140;andere;20000;8;benzin;opel;nein;26/03/2016 00:00;0;1237;05/04/2016 20:44
14/03/2016 20:40;John_Cooper_Works_Countryman___3_Monate_Alt!;privat;Angebot;36800;control;suv;2015;automatik;218;cooper;5000;12;benzin;mini;nein;14/03/2016 00:00;0;31787;06/04/2016 07:45
28/03/2016 16:25;Honda_CR_V_2.0i_VTEC_2WD_Elegance;privat;Angebot;19300;test;suv;2014;manuell;155;cr_reihe;20000;10;benzin;honda;nein;28/03/2016 00:00;0;65474;07/04/2016 00:46
03/04/2016 20:50;Mazda_CX_5_2.2_SKYACTIV_D_AWD_Aut.;privat;Angebot;32465;test;suv;2014;automatik;175;cx_reihe;60000;1;diesel;mazda;nein;03/04/2016 00:00;0;91350;05/04/2016 21:46
09/03/2016 14:37;Porsche_Macan_S_Diesel_PDK;privat;Angebot;68900;test;suv;2014;automatik;258;andere;30000;7;diesel;porsche;nein;09/03/2016 00:00;0;53227;09/03/2016 23:44
26/03/2016 14:46;Volkswagen_Tiguan_2.0_TDI_DPF_4Motion_BlueMotion_Techn....;privat;Angebot;35999;control;suv;2015;automatik;177;tiguan;20000;1;diesel;volkswagen;nein;26/03/2016 00:00;0;38471;06/04/2016 02:45
23/03/2016 15:53;Skoda_Yeti_1.6_TDI_GreenLine;privat;Angebot;17500;test;suv;2015;manuell;105;yeti;20000;6;diesel;skoda;nein;23/03/2016 00:00;0;42651;05/04/2016 19:17
21/03/2016 17:37;Porsche_Cayenne_S_Diesel_Tiptronic_S;privat;Angebot;82500;control;suv;2014;automatik;382;cayenne;30000;8;diesel;porsche;nein;21/03/2016 00:00;0;97422;30/03/2016 04:46
04/04/2016 08:54;Mercedes_Benz_GLA_200_Urban;privat;Angebot;24301;control;suv;2014;manuell;156;andere;20000;6;benzin;mercedes_benz;nein;04/04/2016 00:00;0;26419;06/04/2016 10:45
14/03/2016 11:58;Nissan_X_Trail_1.6_dCi_ALL_MODE_4x4i_Tekna;privat;Angebot;27900;test;suv;2014;manuell;131;x_trail;40000;9;diesel;nissan;nein;14/03/2016 00:00;0;42113;05/04/2016 11:50
02/04/2016 21:57;Ford_Kuga_II_1.5_EcoBoost_2X4_Sync._Editon;privat;Angebot;19990;test;suv;2015;manuell;150;kuga;20000;4;benzin;ford;nein;02/04/2016 00:00;0;35236;06/04/2016 22:46
04/04/2016 22:41;Ford_Ranger_Wildtrak;privat;Angebot;28700;test;suv;2014;manuell;200;andere;40000;10;diesel;ford;nein;04/04/2016 00:00;0;45145;07/04/2016 01:16
12/03/2016 07:02;Mercedes_Benz_GLA_200_7G_DCT_Urban;privat;Angebot;26900;control;suv;2014;automatik;156;andere;20000;4;benzin;mercedes_benz;nein;12/03/2016 00:00;0;66914;19/03/2016 04:45
27/03/2016 17:36;Ford_Ranger_WildTrak_200_PS_Auto._AHK_Navi;privat;Angebot;24500;test;suv;2015;automatik;200;andere;70000;1;diesel;ford;nein;27/03/2016 00:00;0;33378;30/03/2016 23:47
08/03/2016 10:36;"Dacia_Duster_""Laureate""_4x4__Allrad_mit_AHK";privat;Angebot;14500;test;suv;2014;manuell;0;duster;10000;11;benzin;dacia;;08/03/2016 00:00;0;92318;01/04/2016 04:16
11/03/2016 06:02;Audi__Q3;privat;Angebot;28950;control;suv;2014;manuell;140;q3;20000;11;diesel;audi;nein;11/03/2016 00:00;0;85104;06/04/2016 09:16
04/04/2016 12:39;Opel_Mokka_1.6_CDTI_4x4_Full_Options;privat;Angebot;25000;control;suv;2015;manuell;136;andere;40000;6;diesel;opel;nein;04/04/2016 00:00;0;54332;06/04/2016 13:44
17/03/2016 19:47;Jeep_Renegade_Neu_Privat_Neupreis_20.000€_WEIss_4_Jahre_Garatie;privat;Angebot;16500;control;suv;2016;manuell;110;andere;5000;4;benzin;jeep;;17/03/2016 00:00;0;20144;20/03/2016 22:17
08/03/2016 03:02;Opel_Mokka_1.4_Turbo_ecoFLEX_Start/Stop_Innovation;privat;Angebot;23333;control;suv;2014;manuell;140;andere;20000;2;benzin;opel;nein;08/03/2016 00:00;0;45329;05/04/2016 23:17
14/03/2016 11:38;Volkswagen_Touareg_3.0_V6_TDI_Blue_Motion_DPF_Automatik;privat;Angebot;41000;test;suv;2014;automatik;245;touareg;50000;10;diesel;volkswagen;nein;14/03/2016 00:00;0;82467;07/04/2016 12:45
27/03/2016 15:56;Hyundai_ix35;privat;Angebot;23500;control;suv;2014;manuell;136;i_reihe;30000;8;diesel;hyundai;nein;27/03/2016 00:00;0;67550;27/03/2016 16:41
13/03/2016 15:48;Volkswagen_Tiguan_2.0_TDI_DPF_BlueMotion_Technology_Cit...;privat;Angebot;28200;test;suv;2015;manuell;140;tiguan;10000;1;diesel;volkswagen;nein;13/03/2016 00:00;0;38479;06/04/2016 17:16
01/04/2016 23:37;Toyota_RAV_4_2.5_4x4_Hybrid_Edition;privat;Angebot;20000;control;suv;2016;automatik;155;rav;5000;3;hybrid;toyota;nein;01/04/2016 00:00;0;60314;02/04/2016 06:47
15/03/2016 23:58;Dacia_Duster_TCe_125_4x2_Prestige;privat;Angebot;12999;control;suv;2014;manuell;125;duster;40000;11;benzin;dacia;nein;15/03/2016 00:00;0;26835;06/04/2016 00:46
26/03/2016 15:45;Audi_Q3_2.0_TDI_quattro___Navi__AHK__elektr._Heckkl.;privat;Angebot;31900;test;suv;2015;manuell;150;q3;20000;3;diesel;audi;nein;26/03/2016 00:00;0;85055;06/04/2016 03:45
04/04/2016 09:50;"Tiguan_R_Line_GARANTIE_TDI_NAVI_AHK_Tempomat_Xenon_vw_8fach_18""";privat;Angebot;23499;control;suv;2014;manuell;110;tiguan;30000;8;diesel;volkswagen;nein;04/04/2016 00:00;0;31675;06/04/2016 11:17
25/03/2016 17:48;BMW_X1___xdrive20D_F48__mit_Superausstattung;privat;Angebot;42600;test;suv;2016;automatik;190;x_reihe;10000;3;diesel;bmw;nein;25/03/2016 00:00;0;84051;06/04/2016 23:15
26/03/2016 00:56;VOLKSWAGEN_TIGUAN_TRACK_&_STYLE_2.0_TDI_DSG_XENON_NAVI_4_MOTION;privat;Angebot;27900;test;suv;2014;automatik;140;tiguan;30000;8;diesel;volkswagen;nein;26/03/2016 00:00;0;34355;05/04/2016 18:45
15/03/2016 19:49;Nissan_Juke_1.5_dCi_mit_1_5_Jahren_Garantie!;privat;Angebot;15800;control;suv;2014;manuell;110;juke;20000;10;diesel;nissan;nein;15/03/2016 00:00;0;33739;07/04/2016 00:17
19/03/2016 10:47;Suzuki_Jimny;privat;Angebot;14000;test;suv;2015;manuell;86;jimny;20000;7;benzin;suzuki;nein;19/03/2016 00:00;0;89605;28/03/2016 09:47
04/04/2016 01:43;"VW_Amarok_Trendline_""Dark_Label""_2.0_TDI_Automatik";privat;Angebot;35550;control;suv;2014;automatik;180;amarok;30000;3;;volkswagen;nein;03/04/2016 00:00;0;64342;06/04/2016 07:16
14/03/2016 05:41;Citroen_C4_Aircross_Leasinguebernahme_+_1.000€_Barauszahlung;privat;Angebot;350;test;suv;2015;manuell;150;;20000;2;diesel;citroen;;13/03/2016 00:00;0;46395;02/04/2016 20:48
01/04/2016 21:51;Mercedes_Benz_GLC_250_d_4Matic_9G_TRONIC_AMG_Line;privat;Angebot;54800;test;suv;2015;automatik;204;andere;10000;11;diesel;mercedes_benz;nein;01/04/2016 00:00;0;87600;03/04/2016 19:17
07/03/2016 21:47;Audi_Q3_2.0_TDI_quattro__Handschalter__AHK__Navi__NR;privat;Angebot;28350;control;suv;2014;manuell;140;q3;30000;7;diesel;audi;nein;07/03/2016 00:00;0;74653;16/03/2016 10:48
20/03/2016 09:46;Peugeot_2008_1_6_Diesel_e_HDi;privat;Angebot;16500;control;suv;2015;manuell;92;;10000;2;diesel;peugeot;nein;20/03/2016 00:00;0;42389;02/04/2016 07:18
17/03/2016 10:56;Land_Rover_Range_Rover_Evoque_TD4_Pure;privat;Angebot;35499;test;suv;2015;manuell;150;range_rover_evoque;10000;4;diesel;land_rover;nein;17/03/2016 00:00;0;30966;02/04/2016 12:45
24/03/2016 23:37;Mercedes_Benz_GLA_220_CDI_4Matic_7G_DCT_Urban___NEU___!_!_!;privat;Angebot;39900;test;suv;2016;automatik;170;andere;5000;3;diesel;mercedes_benz;nein;24/03/2016 00:00;0;87561;06/04/2016 04:46
05/03/2016 16:48;Volkswagen_Tiguan_1.4_TSI_BlueMotion_Technology_Trend_&_Fun;privat;Angebot;17900;control;suv;2014;manuell;122;tiguan;30000;5;benzin;volkswagen;nein;05/03/2016 00:00;0;53913;07/04/2016 11:45
28/03/2016 17:41;Porsche_Cayenne_Platinum_Edition__Handwaesche_und__pflege;privat;Angebot;69999;test;suv;2014;automatik;0;cayenne;10000;10;;porsche;nein;28/03/2016 00:00;0;63110;06/04/2016 23:15
27/03/2016 16:51;Skoda_Yeti_1.2_TSI_DSG_Elegance;privat;Angebot;22250;test;suv;2015;automatik;105;yeti;10000;3;benzin;skoda;nein;27/03/2016 00:00;0;34613;05/04/2016 12:44
15/03/2016 19:49;Opel_Mokka_1.7_CDTI_ecoFLEX_Start/Stop_Innovation;privat;Angebot;18800;control;suv;2014;manuell;131;andere;30000;12;diesel;opel;nein;15/03/2016 00:00;0;45529;07/04/2016 00:17
01/04/2016 18:37;BMW_X4_xDrive30d_Aut._M_Paket;privat;Angebot;55800;control;suv;2015;automatik;258;x_reihe;10000;8;diesel;bmw;nein;01/04/2016 00:00;0;84032;05/04/2016 14:16
15/03/2016 15:43;Volkswagen_Tiguan_2.0_TDI_DPF_4Motion_BlueMotion_Xenon_Navi;privat;Angebot;34500;control;suv;2015;manuell;177;tiguan;20000;2;diesel;volkswagen;nein;15/03/2016 00:00;0;79227;06/04/2016 06:45
09/03/2016 20:42;Nissan_Navara_DPF_LB_Platinum_Evo_KAMERA__AHK;privat;Angebot;25600;test;suv;2014;manuell;190;navara;20000;11;diesel;nissan;nein;09/03/2016 00:00;0;41352;12/03/2016 07:16
30/03/2016 13:51;"Audi_Q3_2.0_TDI_quattro_S_tronic_S_line_19""_Garantie";privat;Angebot;32700;test;suv;2014;automatik;140;q3;20000;10;diesel;audi;nein;30/03/2016 00:00;0;92676;07/04/2016 04:44
14/03/2016 17:40;Audi_SQ5_TDI_quattro_tiptronic_Voll_Standhzg.__8fach_bereift_2015;privat;Angebot;66900;test;suv;2015;automatik;313;q5;20000;6;diesel;audi;nein;14/03/2016 00:00;0;70173;06/04/2016 05:45
29/03/2016 18:57;Ford_Kuga_2.0_TDCi_4x4_Titanium_Navi_Panoramadach_AHK;privat;Angebot;22500;control;suv;2014;manuell;140;kuga;40000;8;diesel;ford;nein;29/03/2016 00:00;0;59519;06/04/2016 04:46
04/04/2016 17:48;Volkswagen_Touareg_4.2_V8_TDI_DPF_Automatik_NP_108_TEUR;privat;Angebot;51999;test;suv;2014;automatik;340;touareg;50000;7;diesel;volkswagen;nein;04/04/2016 00:00;0;85221;06/04/2016 19:47
01/04/2016 17:46;RR_Evoque_Dynamic_weiss_9_Gang_Automatik_AHK_Leder_Memory_Kamera;privat;Angebot;42500;test;suv;2014;automatik;150;range_rover_evoque;40000;3;diesel;land_rover;nein;01/04/2016 00:00;0;63916;05/04/2016 13:15
05/04/2016 01:55;Volvo_XC_60_D4_Geartronik_mit_viele_Extras..;privat;Angebot;35490;control;suv;2014;automatik;181;xc_reihe;30000;9;;volvo;;04/04/2016 00:00;0;28844;07/04/2016 10:15
19/03/2016 09:48;Audi__Q5;privat;Angebot;47900;test;suv;2015;automatik;258;q5;30000;3;diesel;audi;nein;19/03/2016 00:00;0;85080;06/04/2016 08:44
28/03/2016 23:54;Volkswagen_Amarok_2.0_BiTDI_4MOTION_Autm._Canyon__PKW_Zul._;privat;Angebot;38900;test;suv;2015;automatik;179;amarok;20000;8;diesel;volkswagen;nein;28/03/2016 00:00;0;87629;05/04/2016 15:44
08/03/2016 19:54;Mercedes_Benz_GLA_180__CDI__d_Style;privat;Angebot;30500;test;suv;2015;manuell;109;andere;5000;11;diesel;mercedes_benz;nein;08/03/2016 00:00;0;73579;15/03/2016 08:46
06/03/2016 22:46;Skoda_Yeti_1.8_TSI_DSG_4x4_Elegance;privat;Angebot;20000;control;suv;2014;automatik;152;yeti;30000;4;benzin;skoda;nein;06/03/2016 00:00;0;38524;12/03/2016 15:44
21/03/2016 21:57;Suzuki_Jimny_Style;privat;Angebot;14500;control;suv;2014;manuell;86;jimny;30000;10;benzin;suzuki;nein;21/03/2016 00:00;0;84036;07/04/2016 03:15
29/03/2016 19:55;Radarwarner_X_Trail_32__Juke__Note_u._Mirca__Qashqai;privat;Angebot;30;control;suv;2015;automatik;131;x_trail;10000;0;diesel;nissan;ja;29/03/2016 00:00;0;24999;06/04/2016 06:15
21/03/2016 16:54;Ford_Kuga_1.5_EcoBoost_2x4_Individual;privat;Angebot;23400;control;suv;2015;manuell;150;kuga;20000;6;benzin;ford;nein;21/03/2016 00:00;0;66787;06/04/2016 16:46
19/03/2016 17:48;Porsche_Macan_S_Diesel_PDK;privat;Angebot;67900;control;suv;2014;automatik;258;andere;40000;10;diesel;porsche;nein;19/03/2016 00:00;0;21039;07/04/2016 04:44
24/03/2016 19:00;Ssangyong_Rexton_W_2.0_D20_DTR_4WD;privat;Angebot;23500;test;suv;2015;automatik;155;;20000;5;diesel;sonstige_autos;nein;24/03/2016 00:00;0;52146;07/04/2016 14:58
30/03/2016 20:52;Opel_Mokka_1.6_CDTI_Automatik_Color_Innovation;privat;Angebot;19900;control;suv;2015;automatik;136;andere;10000;6;diesel;opel;nein;30/03/2016 00:00;0;59073;01/04/2016 15:48
16/03/2016 11:48;Mazda_CX_5_2.2_SKYACTIV_D_Aut._Center_Line_FWD;privat;Angebot;21900;test;suv;2014;automatik;150;cx_reihe;60000;2;diesel;mazda;nein;16/03/2016 00:00;0;52457;02/04/2016 07:18
11/03/2016 10:40;Volkswagen_Achtung_nur_bis_Sonntag_Tiguan_1.4_TSI_DSG;privat;Angebot;26500;test;suv;2015;automatik;150;tiguan;10000;11;benzin;volkswagen;nein;11/03/2016 00:00;0;48619;11/03/2016 10:40
24/03/2016 18:48;Nissan_Navara_DPF_Platinum_Evo;privat;Angebot;25000;test;suv;2014;manuell;190;navara;30000;3;diesel;nissan;nein;24/03/2016 00:00;0;53937;07/04/2016 12:47
30/03/2016 20:43;Land_Rover_Range_Rover_Evoque_SD4_Aut._White_Edition;privat;Angebot;39800;control;suv;2014;automatik;190;range_rover_evoque;40000;3;diesel;land_rover;nein;30/03/2016 00:00;0;44651;01/04/2016 15:18
13/03/2016 08:36;Tiguan_1_4l_TSI__Sport&Style_BM__Sondermodell_Lounge;privat;Angebot;23999;control;suv;2015;manuell;160;tiguan;20000;3;benzin;volkswagen;nein;13/03/2016 00:00;0;26835;06/04/2016 14:47
02/04/2016 16:59;Verkaufe_Mazda_CX5;privat;Angebot;30933;control;suv;2015;automatik;192;cx_reihe;10000;8;benzin;mazda;nein;02/04/2016 00:00;0;13351;06/04/2016 16:16
